name,library_system,latitude,longitude,address,city,zip_code,county,phone
Anaheim Public Library - Central,Anaheim Public Library,33.8315,-117.91932,500 W. Broadway,Anaheim,92805,Orange,(714) 765-1880
Anaheim Heritage Center @ The Muzeo,Anaheim Public Library,33.83358,-117.91362,241 S. Anaheim Blvd.,Anaheim,92805,Orange,(714) 765-6453
Canyon Hills Branch,Anaheim Public Library,33.84508,-117.78544,400 Scout Trail,Anaheim,92807,Orange,(714) 765-6444
East Anaheim Branch,Anaheim Public Library,33.8688,-117.74636,8201 E. Santa Ana Canyon Rd.,Anaheim,92808,Orange,(714) 765-3887
Euclid Branch,Anaheim Public Library,33.81431,-117.94106,1340 S. Euclid,Anaheim,92802,Orange,(714) 765-3625
Haskett Branch,Anaheim Public Library,33.8282,-117.97862,2650 W. Broadway,Anaheim,92804,Orange,(714) 765-5075
Ponderosa Joint-Use Library,Anaheim Public Library,33.79542,-117.90413,240 E. Orangewood Ave.,Anaheim,92802,Orange,(714) 740-0202
Sunkist Branch,Anaheim Public Library,33.82814,-117.881,901 S. Sunkist,Anaheim,92806,Orange,(714) 765-3576
Arcadia Public Library,Arcadia Public Library,34.12846,-118.03187,20 W. Duarte Road,Arcadia,91006,Los Angeles,(626) 821-5567
Azusa City Library,Azusa City Library,34.13481,-117.9054,729 N. Dalton Ave.,Azusa,91702,Los Angeles,(626) 812-5232
Buena Park Library District,Buena Park Library District,33.8461,-118.00845,7150 La Palma Ave.,Buena Park,90620,Orange,(714) 826-4100
Cerritos Library,Cerritos Public Library,33.86705,-118.06474,18025 Bloomfield Ave.,Cerritos,90703,Los Angeles,(562) 916-1350
Bandini Branch,City Of Commerce Public Library,34.00516,-118.16498,2269 S. Atlantic Blvd,Commerce,90040,Los Angeles,(323) 780-1176
Bristow Park Branch,City Of Commerce Public Library,34.01304,-118.16923,1466 S. Mcdonnell Ave.,Commerce,90040,Los Angeles,(323) 265-1787
City Of Commerce Rosewood Library,City Of Commerce Public Library,34.00033,-118.15669,5655 Jillson St.,Commerce,90040,Los Angeles,(323) 722-6660
Veterans Branch,City Of Commerce Public Library,33.98624,-118.12455,6134 S. Greenwood Ave.,Commerce,90040,Los Angeles,(562) 927-1516
Covina Public Library,Covina Public Library,34.0882,-117.88745,234 N. Second Ave.,Covina,91723,Los Angeles,(626) 384-5303
Downey City Library,Downey City Library,33.93969,-118.12882,11121 Brookshire Ave.,Downey,90241,Los Angeles,(562) 904-7360
Fullerton Main Library,Fullerton Public Library,33.87072,-117.93048,353 W. Commonwealth Ave.,Fullerton,92832,Orange,(714) 738-6380
Banning Library,Huntington Beach Public Library,33.64361,-117.96561,9281 Banning Ave.,Huntington Beach,92646,Orange,(714) 375-5005
Helen Murphy Branch,Huntington Beach Public Library,33.73112,-118.03235,15882 Graham St.,Huntington Beach,92649,Orange,(714) 375-5006
Huntington Beach Central Library,Huntington Beach Public Library,33.70194,-118.00452,7111 Talbert Ave.,Huntington Beach,92648,Orange,(714) 960-8836
Main Street Library,Huntington Beach Public Library,33.66201,-117.99917,525 Main St.,Huntington Beach,92648,Orange,(714) 375-5071
Oak View Branch,Huntington Beach Public Library,33.71155,-117.99416,17251 Oak Lane,Huntington Beach,92647,Orange,(714) 375-5068
Irwindale Public Library,Irwindale Public Library,34.10449,-117.93344,5050 N. Irwindale Ave.,Irwindale,91706,Los Angeles,(626) 430-2229
Alamitos Branch Library,Long Beach Public Library,33.76886,-118.16856,1836 E. Third St.,Long Beach,90802,Los Angeles,(562) 570-1037
Bach Branch Library,Long Beach Public Library,33.83187,-118.12557,4055 Bellflower Blvd.,Long Beach,90808,Los Angeles,(562) 570-1038
Bay Shore Branch Library,Long Beach Public Library,33.75804,-118.13051,195 Bay Shore Ave.,Long Beach,90803,Los Angeles,(562) 570-1039
Bret Harte Branch Library,Long Beach Public Library,33.80459,-118.21407,1595 W. Willow St.,Long Beach,90810,Los Angeles,(562) 570-1044
Brewitt Branch Library,Long Beach Public Library,33.78238,-118.14514,4036 E. Anaheim St.,Long Beach,90804,Los Angeles,(562) 570-1040
Burnett Branch Library,Long Beach Public Library,33.79685,-118.18573,560 E. Hill St.,Long Beach,90806,Los Angeles,(562) 570-1041
Dana Branch Library,Long Beach Public Library,33.82406,-118.18472,3680 Atlantic Ave.,Long Beach,90807,Los Angeles,(562) 570-1042
El Dorado Branch Library,Long Beach Public Library,33.8089,-118.0986,2900 Studebaker Rd.,Long Beach,90815,Los Angeles,(562) 570-3136
