Name,Library System,Latitude,Longitude,Address,City,Zip Code,County,Phone
A. K. Smiley Public Library,A. K. Smiley Public Library,34.05408,-117.18396,125 W. Vine St.,Redlands,92373,San Bernardino,(909) 798-7565
Albany Library,Alameda County Library,37.88797,-122.29299,1247 Marin Avenue,Albany,94706,Alameda,(510) 526-3720
Castro Valley Library,Alameda County Library,37.69298,-122.07105,3600 Norbridge Ave.,Castro Valley,94546,Alameda,(510) 667-7900
Centerville Library,Alameda County Library,37.56800,-122.02226,3801 Nicolet Ave.,Fremont,94536,Alameda,(510) 795-2629
Cherryland Library,Alameda County Library,37.68415,-122.11210,278 Hampton Road,Hayward,94541,Alameda,(510) 626-8522
Dublin Library,Alameda County Library,37.70278,-121.91895,200 Civic Plaza,Dublin,94568,Alameda,(925) 828-1315
Fremont Main Library,Alameda County Library,37.55082,-121.97098,2400 Stevenson Blvd.,Fremont,94538,Alameda,(510) 745-1401
Irvington Library,Alameda County Library,37.52198,-121.96477,41825 Greenpark Dr.,Fremont,94538,Alameda,(510) 795-2631
Newark Library,Alameda County Library,37.53458,-122.03038,37055 Newark Blvd.,Newark,94560,Alameda,(510) 795-2627
Niles Library,Alameda County Library,37.57603,-121.97813,150 I St.,Fremont,94536,Alameda,(510) 795-2626
San Lorenzo Library,Alameda County Library,37.68106,-122.12595,395 Paseo Grande,San Lorenzo,94580,Alameda,(510) 670-6283
Union City Library,Alameda County Library,37.58811,-122.02718,34007 Alvarado-Niles Rd.,Union City,94587,Alameda,(510) 745-1464
Alameda Free Library,Alameda Free Library,37.76681,-122.24243,1550 Oak St,Alameda,94501,Alameda,(510) 747-7747
Bay Farm Island Branch,Alameda Free Library,37.73696,-122.24155,3221 Mecartney Rd.,Alameda,94502,Alameda,(510) 747-7787
West End Branch,Alameda Free Library,37.77340,-122.27366,788 Santa Clara Ave.,Alameda,94501,Alameda,(510) 747-7767
Alhambra Public Library,Alhambra Civic Center Library,34.09307,-118.12754,101 S. First St.,Alhambra,91801,Los Angeles,(626) 570-5008
Alpine County Library,Alpine County Library/Archives,38.69329,-119.78230,270 Laramie St.,Markleeville,96120,Alpine,(530) 694-2120
Bear Valley Library Station,Alpine County Library/Archives,38.46581,-120.03883,367 Creekside Dr.,Bear Valley,95223,Alpine,(209) 753-6219
Altadena Library District,Altadena Library District,34.18916,-118.13718,600 E. Mariposa St.,Altadena,91001,Los Angeles,(626) 798-0833
Bob Lucas Memorial Library and Literacy Center,Altadena Library District,34.19132,-118.15896,2659 N. Lincoln Ave.,Altadena,91001,Los Angeles,(626) 798-8338
Amador County Library,Amador County Library,38.35405,-120.77652,530 Sutter St.,Jackson,95642,Amador,(209) 223-6400
Ione Branch Library,Amador County Library,38.35304,-120.93291,25 East Main St.,Ione,95640,Amador,(209) 274-2560
Pine Grove Branch Library,Amador County Library,38.41344,-120.65778,19889 Hwy 88,Pine Grove,95665,Amador,(209) 296-3111
Pioneer Branch Library,Amador County Library,38.44316,-120.55717,25070 Buckhorn Ridge Rd.,Pioneer,95666,Amador,(209) 295-7330
Plymouth Branch,Amador County Library,38.48120,-120.84850,9375 Main St.,Plymouth,95669,Amador,(209) 245-6476
Anaheim Public Library - Central,Anaheim Public Library,33.83150,-117.91932,500 W. Broadway,Anaheim,92805,Orange,(714) 765-1880
Anaheim Heritage Center @ The Muzeo,Anaheim Public Library,33.83358,-117.91362,241 S. Anaheim Blvd.,Anaheim,92805,Orange,(714) 765-6453
Canyon Hills Branch,Anaheim Public Library,33.84508,-117.78544,400 Scout Trail,Anaheim,92807,Orange,(714) 765-6444
East Anaheim Branch,Anaheim Public Library,33.86880,-117.74636,8201 E. Santa Ana Canyon Rd.,Anaheim,92808,Orange,(714) 765-3887
Euclid Branch,Anaheim Public Library,33.81431,-117.94106,1340 S. Euclid,Anaheim,92802,Orange,(714) 765-3625
Haskett Branch,Anaheim Public Library,33.82820,-117.97862,2650 W. Broadway,Anaheim,92804,Orange,(714) 765-5075
Ponderosa Joint-Use Library,Anaheim Public Library,33.79542,-117.90413,240 E. Orangewood Ave.,Anaheim,92802,Orange,(714) 740-0202
Sunkist Branch,Anaheim Public Library,33.82814,-117.88100,901 S. Sunkist,Anaheim,92806,Orange,(714) 765-3576
Arcadia Public Library,Arcadia Public Library,34.12846,-118.03187,20 W. Duarte Road,Arcadia,91006,Los Angeles,(626) 821-5567
Azusa City Library,Azusa City Library,34.13481,-117.90540,729 N. Dalton Ave.,Azusa,91702,Los Angeles,(626) 812-5232
Banning Library District,Banning Library District,33.92910,-116.87710,21 W. Nicolet St.,Banning,92220,Riverside,(951) 849-3192
Beaumont Library District,Beaumont Library District,33.93201,-116.98110,125 E. Eighth St.,Beaumont,92223,Riverside,(951) 845-1357
